featureid	rab.all	rab.win.2.asymptomatic	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-4.01250745573817	-4.36570557803965	-3.59277565388683	0.904794996864434	4.80475413053724	0.169297939850965	0.416992194283836	0.44419247377235	0.549722364344259	0.431472755776305	0.540091637298363
k__Bacteria;p__Actinobacteria	11.3014014406769	9.30835689021996	11.8179141588779	2.4904534469057	3.04918249286424	0.680401005685508	0.278048802412798	0.00400577220388708	0.0257288841141393	0.0275946961499474	0.107053833998949
k__Bacteria;p__Armatimonadetes	-4.30047962837104	-4.37716044468378	-4.20466046802306	0.283931968608214	4.52883479537432	0.0581102138925527	0.476097562875842	0.486157849400081	0.599713296924509	0.505624894317732	0.61892112360292
k__Bacteria;p__Bacteroidetes	7.42614069813594	8.72362631757659	6.40882242486901	-1.75624190264677	4.6825034077278	-0.335717851279121	0.33365855142121	0.224507190942946	0.387966044793876	0.0876148800276419	0.230168055696507
k__Bacteria;p__Chlorobi	-4.29236285395553	-4.20907091756411	-4.33689901375896	-0.388150953028005	4.62466753675894	-0.0682524481124026	0.46829268545194	0.556800552740553	0.658540047349436	0.582943940462154	0.672868175182852
k__Bacteria;p__Chloroflexi	-4.27028880909173	-4.4117757070569	-4.05187019965257	0.50530682967387	4.82156486965804	0.0914039327769648	0.448242191657894	0.551153912592925	0.648983487316963	0.530799953200228	0.627850987582964
k__Bacteria;p__Cyanobacteria	2.25386642738765	-1.54582454633826	3.10944928578431	2.64287403529196	7.79853354493765	0.363066699460657	0.359024402391471	0.0950382778838434	0.232534929845717	0.213254284235996	0.378299424780656
k__Bacteria;p__Firmicutes	11.2168026744918	11.0300735658224	11.4637320747576	0.35732006578778	2.74032894866285	0.1312710472964	0.440429692302389	0.544820177933552	0.665921471792104	0.574903662792239	0.684942112223229
k__Bacteria;p__Fusobacteria	4.25886288271112	6.66569959576025	1.97818631703103	-3.22003027912953	7.94690743963205	-0.373259107650995	0.358048792734129	0.200595883779264	0.358867674987906	0.168811675909993	0.325867063832037
k__Bacteria;p__GN02	-4.13274377594904	-3.89164805527426	-4.38439897967367	-0.794955271746749	4.6327680004366	-0.151337687230281	0.422851568780734	0.43880981789498	0.554765423318891	0.456523736898616	0.559147253470072
k__Bacteria;p__Gemmatimonadetes	-4.33702160394186	-4.4472358029664	-4.20970611115831	0.179982160850997	4.34357858701649	0.0392868385066416	0.483398438820829	0.521492304743505	0.620500247470596	0.516925659214738	0.616994124864491
k__Bacteria;p__Proteobacteria	11.0984879870238	9.34294184167204	13.3798371668664	3.66037352555835	2.90326569418098	1.08651918201977	0.129756162578312	0.00208149346322821	0.0192952818813092	9.76999625202801e-05	0.00152588369188086
k__Bacteria;p__SR1	-2.88540073381777	-1.49861756742626	-4.17339007312377	-2.76867013358239	5.08827869260871	-0.492679708920622	0.284179708579187	0.0847525264482768	0.186782012520482	0.0725414137481396	0.16908335226189
k__Bacteria;p__Spirochaetes	-2.51914006750721	-1.27196957510758	-3.49769264947148	-2.44676066502266	6.13813965371564	-0.353791515195326	0.332031265047073	0.195836012273341	0.332953305782846	0.191114173904601	0.319903682159016
k__Bacteria;p__Synergistetes	-3.87192174583037	-3.96114601580275	-3.70780659912693	0.111574602215598	4.59781234777304	0.0200994322682019	0.488281250931834	0.538663845829062	0.650007171120418	0.57632288122847	0.671644454730262
k__Bacteria;p__TM7	1.02865732799504	2.65894456123068	0.271168406878806	-2.02946832929723	6.71882601571771	-0.284042043769179	0.3916015715396	0.341766654502161	0.485814762710448	0.285854806865678	0.438575842292955
k__Bacteria;p__Tenericutes	-2.98442712833858	-1.35830047576774	-4.18494540893793	-2.83686579659234	4.96023422316744	-0.521158405205694	0.258789087484336	0.0676979757850678	0.14905084001082	0.0490231112372668	0.128944040535636
k__Bacteria;p__[Thermi]	-2.81634652027944	-4.28262118791536	-0.609194073615986	3.75740185026075	4.55041453160414	0.735481283091635	0.205078160943604	0.0275779285032196	0.0716839649865973	0.0077242648198006	0.0371231697388734
