featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	2.48388188842181	6.54832480228842	-0.511146553721995	-6.08095115168576	6.48482903512104	-0.832961948526684	0.1894531651796	0.00625963410390339	0.0307487993898215	0.00304501672683213	0.0200261103158402
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	4.2256342767542	8.12742080408252	-0.282861790360401	-7.30827460196248	6.44954586240944	-0.982180826925198	0.171875045802477	0.00140051778208936	0.00989218101985109	0.0012980513989352	0.0112301448355988
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	1.13758294279135	6.83801564354311	-0.605407897944077	-6.17342910528587	7.07968259053083	-0.774433833479115	0.230243932620514	0.00473159710684987	0.0243031792371543	0.00728522440106372	0.0373109461302548
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	1.17262780870394	5.35381264658883	-0.907563536960794	-5.81042707464046	5.70112084660621	-0.897100804824187	0.158203175992215	0.00222626047012924	0.0125133130754726	0.00161100421243209	0.0118893731860185
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	5.75288646558538	3.03030988622093	12.2948367456599	8.21221204659176	6.16222529694555	1.36891415850813	0.114146417130741	3.99657006067853e-06	0.000165165999235758	3.11909976589615e-05	0.00179286730510908
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	-0.272166693967534	-1.85147160948136	4.38186373627603	5.84719308127682	5.35524939616923	0.944628483715014	0.170898483646882	0.00398212878656559	0.0180539402600135	0.00149862152298256	0.0113364356820343
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	2.76961521042097	-1.03373511381215	11.0818282305047	11.2959577426957	7.56187102067993	1.26771783486431	0.119140697103419	8.24858610939552e-05	0.000994693597890502	9.751016547962e-05	0.00241976325631654
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	1.52077685395187	4.37560248337409	-0.637062572924607	-5.36618300981772	6.35222091390971	-0.773340169807097	0.219726594979626	0.0073728783769964	0.0355794405274217	0.0062163922189759	0.0326640180205842
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	1.30364247622084	5.30603228577551	-0.734623338056974	-5.84210935266581	6.24651075416701	-0.830465909849522	0.199024427682217	0.00510258238573541	0.0255140280361326	0.00633801472144605	0.0314542558289778
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.68916723697198	-1.77459338456106	11.2324158394198	12.3609595886194	6.44152299241018	1.42912792080334	0.131707380932904	9.15089339474464e-05	0.000876021461276461	0.000151656333173023	0.00328227507767037
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	7.57663067334399	8.39898677072399	2.94027338823699	-5.17228927937451	6.56708675053949	-0.714856739882025	0.200000037180211	0.0100754695868108	0.0490130012198284	0.00229173753844264	0.017883211348412
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.658194151108189	-1.73569134449078	9.84073389063757	11.1591101808696	5.76015753903695	1.35166016419976	0.127804944258171	7.34139606278216e-05	0.000674241718312917	0.000147228026767562	0.0030285147969148
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	1.06643394602802	6.60863540143969	-0.54610981159967	-6.0828948635988	7.43021285412835	-0.760399709386262	0.260487829533085	0.0112891193305878	0.0471146376518522	0.0199576878717607	0.0741591583137177
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	1.23735356536295	-1.43916267444782	10.7390250264678	11.6836881923245	6.29172825385619	1.33593859979602	0.158048831443932	5.68611656115046e-05	0.000903810267728749	0.000353122474286157	0.00524604388668322
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__	-0.932255513575427	-1.97347548361059	5.58018126193187	6.98877242330404	7.3661018439314	0.835035734122877	0.224609406416602	0.00904829008897107	0.0398085627681978	0.0235049116130468	0.0763394300844615
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	9.77820210140812	6.01469626896196	13.6566996229918	7.29834973479015	8.18139413072964	0.858376371191121	0.163902487657649	0.00122126582932744	0.0103028326292047	0.000257797568723462	0.00451033745966897
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	2.29947993969734	8.122719415357	-0.727960903097093	-7.68373500163439	7.33784878640984	-0.934428601870631	0.187500040755265	0.00152740185934669	0.0109270566019958	0.00205505736128707	0.0151921343806805
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.88021957182527	-1.16710854205626	7.53463363102269	7.25449685000235	7.44398927084494	0.852172032827062	0.199218787459765	0.00321479964643764	0.0195815961469372	0.00369464115329531	0.022664035283369
