featureid	rab.all	rab.win.3.mild	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	6.81942736654154	8.57494986496339	0.0942990538813273	-8.36801281385681	4.8944147328912	-1.51972846934845	0.0517074983624884	2.27047868328467e-05	0.000345533072102627	1.51414854841629e-06	7.91032619301555e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	12.1316062017013	13.5278572388612	9.72116945812758	-3.67557330340748	3.92446147402079	-0.796428637452676	0.175781294461219	0.00255289429055863	0.0234779168732516	0.00129701408887254	0.0125566911384322
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	6.07642194291791	7.5668151325325	0.115611883368609	-7.1183369104067	4.70070097610786	-1.35005479562755	0.113281326490737	8.2805330408877e-05	0.00115939537846396	8.00871192537158e-05	0.00122524865888985
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	7.92405437042126	9.23087547417916	3.15099186436054	-5.84668459675082	4.65243754187055	-1.03383619817172	0.110351641355775	0.000289713639561653	0.00372470414628683	9.21069341074328e-05	0.00140500348684434
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	6.83226270724035	3.82821101834461	12.8507648234064	7.84417306274738	4.46373062445093	1.64349329202532	0.0654298286979069	1.1445004498819e-06	3.73019678246907e-05	4.86979890493516e-06	0.000178633501509614
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	-0.301114878053793	-2.44597406682753	4.82300959628609	6.7263013735718	4.83180458369014	1.22427939339958	0.114146417130741	0.000946371461868061	0.00773877957385354	0.000681265362857704	0.00580048875428081
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	6.38204694408432	4.18077530003888	11.6399256495779	6.832466621541	5.81368443697428	1.09220410366992	0.133658599320431	0.000958506210729231	0.00853410276606997	0.000238063934343291	0.00292312230148956
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.41747366300818	-2.18211593876774	11.7429099781794	13.0990106048831	5.52828988385073	2.03289517213946	0.0692684251644998	2.22462110374766e-06	5.35465948406812e-05	1.38918866160315e-05	0.00032789731047109
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	4.82000210430435	-1.76733320653032	10.2666519405124	11.3995665109717	5.83541233945981	1.58564677286411	0.0800001131566135	1.49407612156078e-05	0.000243985781940986	2.2482095739307e-05	0.0004738243656337
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	7.70002458771394	9.08278166391179	5.34174860583525	-3.87331655796835	4.73518311178789	-0.720733881936757	0.208780522762686	0.0022024296554491	0.0204101496507542	0.00276842046036471	0.0226110265004915
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	1.54778881567253	6.52905902974271	-0.782636594071601	-7.41147902029256	5.47945006865127	-1.16739643237258	0.142578183088703	0.00112466482061343	0.00865949401276376	0.000506273690778699	0.00520642245974162
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	6.76853710000837	13.0906494221291	2.8800306503977	-9.31314159444824	5.95474679905017	-1.47776164248482	0.0897561971311749	0.000120307649876409	0.00136185466772309	3.47346165710048e-05	0.000695646580016875
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	3.88657940650709	0.0514808809626146	11.2449207117804	10.0329581097944	5.63319748815897	1.53594926651637	0.105365936673968	2.88766249730441e-05	0.000446526394165895	4.36582357561191e-05	0.000788487963642146
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__	-0.897388100663829	-2.44461073902038	6.06180656748938	7.90027523558522	7.57693833130137	0.930944922143422	0.182439066608446	0.00268195377253951	0.020746431574536	0.00683752657548019	0.0367137746625628
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	2.89122487185033	13.5657713035825	-0.874577761798194	-14.0712401286795	4.28569501251358	-3.1119878759081	0.0029301925982745	1.78179657428921e-09	1.13216885098125e-07	6.99261707739293e-09	1.06987041284112e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	5.86030631873521	7.66075449250993	1.9986102612636	-5.53516835562319	5.00970858937368	-0.996495671974297	0.124023506257847	0.000941479980941194	0.00933466483581053	0.000160059861127727	0.0021172119028146
