featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-4.92734486797866	-5.27383834605853	-4.38541905406315	0.79937731007085	4.50350265733184	0.143965374019062	0.431743424972449	0.428771146702039	0.561770964142315	0.41450617673522	0.546841946585243
k__Bacteria;p__Actinobacteria	8.00520543595575	7.4291156357576	9.33496648019936	2.02715146996522	3.80907736145901	0.510201358721873	0.301809223777915	0.0171067591173766	0.111705262430232	0.0254956492725678	0.108880985840499
k__Bacteria;p__Bacteroidetes	9.6299424449918	10.099096854174	8.69466455524329	-1.43563258771287	4.01955971059948	-0.333451604921771	0.287828961951821	0.0751612446138838	0.21926001788024	0.0235539805490797	0.0961077663097257
k__Bacteria;p__Chlorobi	-4.87785789365084	-5.18941263376827	-4.43347489497797	0.741143455342825	4.9793529336809	0.140576140334354	0.433032049851562	0.433367377767817	0.573567164953399	0.44948142635234	0.580208788049548
k__Bacteria;p__Chloroflexi	-4.93615281846615	-5.24358450940731	-4.47858249813517	0.86167581781323	4.52128608094541	0.175457069832782	0.409539478954858	0.394300830267209	0.52572296278943	0.394979647598829	0.515867963699001
k__Bacteria;p__Cyanobacteria	-3.08885404624148	-3.57365692416062	-1.58234897278262	2.0476848847055	9.04218292445565	0.230596379863515	0.414954811829837	0.333246654619247	0.503248171585329	0.372028063237175	0.524280533537661
k__Bacteria;p__Firmicutes	10.6422129068691	10.4530184283355	11.0217690667738	0.688574417071954	2.31252993333205	0.2722082189672	0.361019745330513	0.132952339870333	0.299012978511157	0.163540978790343	0.319219097158313
k__Bacteria;p__Fusobacteria	8.01800166182875	8.60669199186107	6.68579075195954	-2.02896498437169	6.31650849743948	-0.370462518398976	0.255546443711315	0.0216755889951147	0.117063768956804	0.00592658705649553	0.0618376082023362
k__Bacteria;p__GN02	-4.92112298287286	-5.48460288653624	-3.98616892430102	1.65023204859671	4.74348846634224	0.319454902233162	0.345932630777656	0.197733359732461	0.325159448947832	0.15956618368301	0.274017157655997
k__Bacteria;p__Gemmatimonadetes	-4.93237448041741	-5.28388304537659	-4.43150167985188	0.777456280790553	4.48442502466971	0.159318206000314	0.433853742489733	0.363881994293741	0.509592042444347	0.373243242023653	0.501468046990343
k__Bacteria;p__Planctomycetes	-4.91794769378657	-5.25088953112007	-4.45019586774619	0.866163312221846	4.57340870698199	0.175069712791354	0.408381270740751	0.386163706431806	0.51617251002574	0.38884430061885	0.506977394821404
k__Bacteria;p__Proteobacteria	9.5475514346149	9.62042563199897	9.39823162372847	-0.112674472600227	2.54009574654206	-0.0380272315500499	0.483976993507225	0.81856638122384	0.873163783394634	0.792063557460405	0.852186069001723
k__Bacteria;p__SR1	-1.69277904404503	-2.00920148643851	-1.43175700379102	0.263471336577076	6.19822572480058	0.0406414940432515	0.480690222945111	0.695212415780462	0.792249175551031	0.749298210529515	0.825649935831503
k__Bacteria;p__Spirochaetes	0.0193624571850739	1.15695442299533	-1.17475081558661	-1.50194872102689	6.09347794086146	-0.230372513728634	0.391947418045437	0.316092834564828	0.483742925877551	0.249920041416731	0.418726783950298
k__Bacteria;p__Synergistetes	-4.30404164518901	-4.62150741300393	-3.92438276341035	0.377204077289838	4.93963591440341	0.0752634945275159	0.46507806277977	0.520099984270149	0.646945705864385	0.537139885455962	0.654226036065227
k__Bacteria;p__TM7	4.97428659638263	5.68421056257181	2.65885159119668	-3.07132781654298	6.05224244540645	-0.470509564248195	0.287006593612307	0.0165997195201889	0.107258912466792	0.0155742157134479	0.0822631504905878
k__Bacteria;p__Tenericutes	-0.102898789578185	0.913680625765735	-1.39254887946608	-1.71603674755777	6.02962543712527	-0.257407732262916	0.372532902419898	0.29901021522071	0.463063821376525	0.180879982665041	0.34007993456909
k__Bacteria;p__[Thermi]	-4.85360173050804	-5.25739700585137	-4.21007317219358	1.00362579981024	4.68476106954943	0.193880063164647	0.405427637106561	0.447757981718094	0.58772771943762	0.359038346389202	0.478147506175676
