featureid	rab.all	rab.win.1.negative	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-4.69304001300954	-5.26375313623274	-3.63868386775547	1.78563919779533	4.69612183151794	0.323942549685137	0.334634161068857	0.20999538962464	0.246983797873395	0.189678030741116	0.224473008262417
k__Bacteria;p__Actinobacteria	9.23362430858932	7.40003922833961	11.8475724426419	4.41299460512783	2.42296033531808	1.70926227742965	0.0458538643672977	3.15826080555189e-09	5.6848694499934e-08	3.7536190469043e-08	6.75651428442774e-07
k__Bacteria;p__Armatimonadetes	-4.93803163728552	-5.36693792415446	-4.14032647871639	1.11350752507637	4.32462370162972	0.225542650764709	0.379882822630723	0.321888220664422	0.363828781681034	0.288497689600522	0.325596798260016
k__Bacteria;p__Bacteroidetes	9.00486465457811	10.1076970915332	6.3902009564588	-3.48908711701714	3.54324964083041	-0.897594624689857	0.142439082435443	0.00197160196903724	0.00481377652153729	5.31137960326682e-05	0.000219126953503952
k__Bacteria;p__Chlorobi	-4.89433616930123	-5.18156107201095	-4.40796409192261	0.683375528317374	4.49884034511058	0.135487921217465	0.442926833854975	0.468905893428913	0.511889592825648	0.449019470197345	0.488077904738408
k__Bacteria;p__Chloroflexi	-4.84807659956545	-5.21762689399967	-4.04463771691067	1.35938901553132	4.90072295131752	0.257549928113827	0.386718759489904	0.341387374752533	0.380516683182149	0.311469708169911	0.349378386742739
k__Bacteria;p__Cyanobacteria	-0.819557324152454	-3.75723289194106	3.14940334151379	6.21187119409448	7.43054595745306	0.732886599281463	0.240000028265666	0.00564574568159735	0.0113485415696721	0.00431821092423149	0.00902077831742501
k__Bacteria;p__Firmicutes	10.7458031797556	10.4345883418325	11.5693724059812	1.23853655092559	2.31357691107034	0.445298612044302	0.277343772072084	0.0480177028055088	0.0736367380569125	0.0341443314654215	0.053047571408219
k__Bacteria;p__Fusobacteria	7.58697063540975	8.56636102671031	1.96545255997562	-5.86491791142216	6.44378697597511	-0.858720847025245	0.166992235062801	0.000959936837513937	0.00297682342378012	0.000328242308124149	0.000962401560430733
k__Bacteria;p__Gemmatimonadetes	-4.77970145323913	-5.15648811277493	-4.15629581626644	1.03919647008978	4.5295534177061	0.184777897738487	0.405273445308453	0.389532762128701	0.435664610717087	0.355370437888474	0.398611197415754
k__Bacteria;p__Planctomycetes	-5.03767931206649	-5.28427582744416	-4.55315294713158	0.64572843238851	4.58861432580882	0.126481888208301	0.439453129883441	0.447288753415084	0.489177371699088	0.436149626472674	0.472917246577008
k__Bacteria;p__Proteobacteria	10.3544333769519	9.61924019688166	13.4106670099708	3.70951680169666	2.50735642018204	1.28207672184833	0.115122026138404	0.00124727845088795	0.00353380759438893	1.09684810062649e-05	6.6170366089935e-05
k__Bacteria;p__SR1	-3.21341614018222	-2.03208021553705	-4.18630039705891	-2.16933661702756	6.1402961842884	-0.317021987311457	0.349609388140808	0.117108001287636	0.155543026486135	0.146479162464752	0.187456436145275
k__Bacteria;p__Spirochaetes	-0.913189292915042	1.21584677819485	-3.37105902398283	-3.92454191742185	5.71223741170158	-0.632729841546913	0.247070339513655	0.0223943089764333	0.03784997958254	0.0132549487725661	0.02338621373545
k__Bacteria;p__Synergistetes	-4.27260976808225	-4.55988774341899	-3.9269013619834	0.535179584241789	4.94800909940611	0.0980009395219135	0.45507812859912	0.510104647304566	0.55167056661101	0.520759365306833	0.561956248495559
k__Bacteria;p__TM7	4.49227293476141	5.67231827189568	0.229961641036287	-5.26428156082788	4.9802900202084	-0.99755485467971	0.123046944406176	0.000270677746209678	0.00122144508965235	2.81850814315675e-05	0.000141440947570728
k__Bacteria;p__Tenericutes	-2.30470933069085	0.928277069898717	-4.2653609511591	-4.8420667877444	5.27666978533306	-0.817063797926512	0.203125036440008	0.00266215239104288	0.00562201470077678	0.0029669540755455	0.00586266623460076
k__Bacteria;p__[Thermi]	-3.9222686015199	-5.25367920824709	-0.539898726035674	4.67412657791614	4.88211419294525	0.865366840784984	0.171875045802477	0.00485477480251076	0.00839579154253659	0.00119245925438125	0.00261542279203708
