featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria	7.82105715149476	7.93394576135086	7.78481344900396	-0.745596320654565	4.79078137431566	-0.150995943610916	0.428710943283105	0.395664476844726	0.514982435359875	0.558767244340415	0.650508424246625
k__Bacteria;p__Bacteroidetes	8.09473546275739	7.16741096792569	9.33342611490204	2.27678105597042	3.73933882192935	0.565432455169622	0.190243942310787	0.00556861943660859	0.0192729666874418	0.00196098975528254	0.00779332831571679
k__Bacteria;p__Chlorobi	-3.76716980100429	-5.85598436953346	1.49385627506523	6.79262812422442	5.90008827231129	1.05518390973724	0.15039067936271	0.0018087707827404	0.00740439363940662	0.000985332941448396	0.00423635858221628
k__Bacteria;p__Cyanobacteria	-3.33412095894563	-2.66612401060051	-3.4668229203474	-0.763094259589077	8.69590034353587	-0.0963356005193295	0.463867190386652	0.632292711545784	0.692362785159229	0.728863123758453	0.773945486099681
k__Bacteria;p__Firmicutes	10.4125009157199	9.60561581682407	10.8523341003629	1.16734562196093	2.84186871827711	0.354725940099282	0.361328136938988	0.297146598472687	0.418894812840485	0.214956916814548	0.33222715210315
k__Bacteria;p__Fusobacteria	0.470360067231026	5.15162858215407	-1.8868149563779	-5.64548433007101	6.99139857105483	-0.735410371645293	0.219512227585789	0.00639857822254719	0.0209413302184887	0.00500487296089258	0.0167690572120932
k__Bacteria;p__GN02	-4.89340136974104	-5.1560896759376	-4.59095447688783	0.28941551681481	5.14021609853611	0.0595338985025383	0.465365856418887	0.534957977777822	0.611747558805618	0.536279433031242	0.619211329333938
k__Bacteria;p__Proteobacteria	9.65206844653798	7.77516100102895	11.357545389882	3.33249861733841	3.12789352819987	0.920747258964956	0.147460993215243	0.0012592784275838	0.00821388111766671	0.000413034848953453	0.00304879776488043
k__Bacteria;p__SR1	-3.52837651920983	-2.75769572698404	-4.14217778005075	-1.32059475785368	4.6303118629178	-0.255040036480637	0.369756108643642	0.276015034863634	0.367067054090217	0.248014508984665	0.336976827744283
k__Bacteria;p__Spirochaetes	-3.45133318682751	-2.46704629669119	-4.30310298990049	-2.22888417558596	5.27893526079277	-0.374540383731991	0.325195328326663	0.163334306655826	0.243734644328262	0.15263583697921	0.233365494724568
k__Bacteria;p__Synergistetes	-5.09780808059234	-5.37927653299939	-4.72567750364956	0.774183941787672	4.6969905545259	0.136616872758233	0.43902439515337	0.51960949058684	0.594440942873599	0.527342198339148	0.605232084447772
k__Bacteria;p__TM7	-1.77578741719364	1.06511650147808	-3.13745455097489	-3.57256917062716	6.05091247157004	-0.536824609007785	0.291015645124238	0.0437494494498735	0.0911440524931299	0.0417698241254013	0.0918228921479015
k__Bacteria;p__Tenericutes	-3.25378303330052	-2.61115183879439	-3.884373512792	-1.40343726929416	4.43465349738068	-0.292147599564138	0.371093760973953	0.323793835602559	0.407523455940334	0.26340969015757	0.352202423366441
k__Bacteria;p__[Thermi]	-5.0045407311895	-5.70781364226559	-4.0492680212899	1.66882095935001	4.8637294250375	0.312580335990264	0.364257824146183	0.281207058030627	0.367106497615979	0.257097315786308	0.342762033782256
