featureid	rab.all	rab.win.3.mild	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-3.84528333476465	-3.93295186571279	-3.78487284718134	-0.0755904628864377	4.59301554687573	-0.0184933910765431	0.490234375776398	0.587202607471031	0.719910401412929	0.579475524506173	0.677255859972298
k__Bacteria;p__Actinobacteria	10.5551680528429	11.5002850254833	8.76882137920357	-2.9685585551312	3.17407157360519	-0.857603135822925	0.160000050163751	0.00263520235961421	0.0146743856356867	0.000910141154330455	0.0056292478701698
k__Bacteria;p__Armatimonadetes	-4.09468238436053	-4.51137658843857	-3.69572984233971	0.844312761159012	4.37650403848806	0.169146072617193	0.423414640366869	0.461349289135909	0.610436251401988	0.45490985992011	0.563253656387224
k__Bacteria;p__Bacteroidetes	8.11631939293054	6.04049133383289	10.3524352149641	4.01453100349566	3.51806043663139	1.12665110598746	0.0966797792550875	8.76878079440052e-05	0.00102326185797308	5.46882963525062e-05	0.000604885699717581
k__Bacteria;p__Chlorobi	-2.76472156756417	-4.60275586952086	2.39565164101585	6.59453587275355	5.09147738778838	1.15642148355496	0.132682990122642	0.000985495464670508	0.00583079555522792	0.00120940806062563	0.00644617203842665
k__Bacteria;p__Chloroflexi	-4.06304330447956	-4.46777814311077	-3.62460088358562	0.625810146455192	4.64624497643908	0.108216280264208	0.440000004828602	0.473631856169614	0.637761485597003	0.49434967428504	0.602729232378806
k__Bacteria;p__Cyanobacteria	0.216932174373953	2.80107496965635	-2.45654069636144	-4.63442787790665	6.33269037157405	-0.656113884465941	0.250976588819049	0.0329254093181061	0.0944367954900691	0.0192406148036205	0.0701580920869091
k__Bacteria;p__Firmicutes	11.6084108619992	11.184236127575	11.8275029989026	0.527593979532941	2.43919441397111	0.157489329304121	0.423828131197428	0.782751203529937	0.867218910449979	0.444786833442528	0.582452095387489
k__Bacteria;p__Fusobacteria	0.465678902662395	1.55326220270798	-1.21834972636481	-2.5799603675574	7.16989596860465	-0.340439087574676	0.353515637734542	0.182480216567049	0.346585913504433	0.173973990348862	0.318462989219756
k__Bacteria;p__Gemmatimonadetes	-4.13071414758363	-4.5072778009917	-3.65469492103008	0.83166449935278	4.63332782298662	0.159668231098087	0.419512201675904	0.397911288083543	0.556977357743559	0.429810627873129	0.537774067337242
k__Bacteria;p__Proteobacteria	12.6357297191694	13.0247963192312	12.2747962743425	-0.66028559957669	2.95619429046197	-0.16582522112623	0.406829275948622	0.774615090234226	0.867202363240172	0.398708083528977	0.545744528245292
k__Bacteria;p__SR1	-3.88166524552947	-4.44789359639203	-3.32583678054135	1.02014671422774	4.5004442014063	0.201139653379721	0.398437508418818	0.490627173628966	0.632863855771815	0.414010404534866	0.527279664097223
k__Bacteria;p__Spirochaetes	-3.58765359874531	-3.63619099853346	-3.52485561938316	-0.136718747396629	4.87450713681316	-0.0235079055546658	0.486829269338082	0.566815320610093	0.709845026210255	0.593262832582593	0.686685874595181
k__Bacteria;p__Synergistetes	-4.00969643272873	-4.16103712064498	-3.80827763163668	0.306857108217078	4.49871176532045	0.0611156932074332	0.467317075774195	0.532888253696232	0.671868477110543	0.532550182056347	0.63508276630068
k__Bacteria;p__TM7	-1.21422754830471	-0.0392541005937614	-2.24200790443451	-2.01604461189523	5.32402909833206	-0.335870476150281	0.339843764183275	0.193157346526471	0.356513518897778	0.151734656828723	0.290149445453553
k__Bacteria;p__Tenericutes	-3.739619922334	-4.42178167272975	-2.9671820669901	1.42992250844887	4.12351039306823	0.3117409754738	0.360351574537242	0.290734057617964	0.443878664216195	0.255325482882789	0.372435936903527
k__Bacteria;p__[Thermi]	-2.034751382568	-0.91099559719763	-3.11751840448394	-2.29311388210733	4.86390590431138	-0.422009652561361	0.30829270075324	0.171079046441874	0.31290588492127	0.116874584181036	0.231409034154796
