featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-1.60699125843659	-1.84645615745033	-1.22179642155296	0.68748628840487	4.20264718992974	0.132871741094322	0.443359379559906	0.4383332023263	0.565900742946264	0.409547174693554	0.537420710982889
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.57314939847782	-1.80331960462646	-1.2325273522445	0.647843951538865	4.30894320131708	0.134365211629969	0.439453129883441	0.460810309971284	0.583299537793182	0.473198080835756	0.586788003985681
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	-1.64315006551748	-1.83388311005205	-1.24404550593101	0.596884386577488	4.4541790220185	0.121220100737779	0.436523442627299	0.458689426139646	0.58516275779892	0.434820399954048	0.559840989476811
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	-0.453766143863945	-0.804866057056175	0.0261806618368965	0.834368576464283	6.46076989114073	0.118677221872243	0.440429692302389	0.555290972052287	0.684976834277751	0.529818582493709	0.659002458723264
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7.24071742010499	8.92518963291981	-0.131997891770306	-8.60272707615761	5.32460404657178	-1.39631472920447	0.109375079671783	2.0873006536524e-05	0.000139619596396821	9.58448899196785e-06	6.90994193343503e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-1.47325209254044	-1.67839744519404	-1.16726147857671	0.587606645031662	4.48966550586417	0.121120409401582	0.442382817140624	0.471072425923701	0.601423819479287	0.461103017355761	0.584013369977612
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	6.68206890804254	3.64533745439459	9.69668414766696	6.28242720405969	7.8003451081507	0.752326858840932	0.20585369421577	0.00161663045588171	0.0062234085430927	0.00163922588619502	0.00675171682490855
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	-1.61239870980345	-1.87042010771059	-1.18349697197464	0.665157250716238	4.32018468953185	0.143455088197273	0.427734380865684	0.45555051019875	0.587916215143062	0.442746969252009	0.566854533778482
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	-1.61532782346163	-2.08095322776761	-0.780767411923796	1.39835163302903	4.36051555862447	0.28752319228892	0.345703138553069	0.318261855510066	0.423495386447604	0.296689533756086	0.399080084992983
