id	clr	W
k__Bacteria;p__Acidobacteria	8.970721709565234	4
k__Bacteria;p__Actinobacteria	7.466969676725004	4
k__Bacteria;p__Bacteroidetes	8.389489051702254	12
k__Bacteria;p__Chlorobi	6.810072150724678	4
k__Bacteria;p__Chloroflexi	7.384322947989565	4
k__Bacteria;p__Cyanobacteria	6.940155220295933	4
k__Bacteria;p__Firmicutes	4.545808449599764	4
k__Bacteria;p__Fusobacteria	11.686683362923176	13
k__Bacteria;p__GN02	6.602063607375132	3
k__Bacteria;p__Gemmatimonadetes	7.248939659996104	4
k__Bacteria;p__Planctomycetes	8.970721709565234	4
k__Bacteria;p__Proteobacteria	2.082516506489475	3
k__Bacteria;p__SR1	1.2237706766088703	1
k__Bacteria;p__Spirochaetes	4.915382405017904	11
k__Bacteria;p__Synergistetes	2.739033663952372	4
k__Bacteria;p__TM7	15.607611075177982	14
k__Bacteria;p__Tenericutes	1.7086295032799976	0
k__Bacteria;p__[Thermi]	3.7949393695675644	3
