	W	Reject null hypothesis
k__Bacteria;p__[Thermi]	3	True
k__Bacteria;p__Tenericutes	2	True
k__Bacteria;p__Chlorobi	1	True
k__Bacteria;p__Proteobacteria	1	True
k__Bacteria;p__Gemmatimonadetes	0	True
k__Bacteria;p__TM7	0	True
k__Bacteria;p__Synergistetes	0	True
k__Bacteria;p__Spirochaetes	0	True
k__Bacteria;p__SR1	0	True
k__Bacteria;p__Acidobacteria	0	True
k__Bacteria;p__Actinobacteria	0	True
k__Bacteria;p__Firmicutes	0	True
k__Bacteria;p__Cyanobacteria	0	True
k__Bacteria;p__Chloroflexi	0	True
k__Bacteria;p__Bacteroidetes	0	True
k__Bacteria;p__Armatimonadetes	0	True
k__Bacteria;p__Fusobacteria	0	True
