id	clr	W
k__Bacteria;p__Acidobacteria	0.8427728724804537	6
k__Bacteria;p__Actinobacteria	2.8818434054427753	14
k__Bacteria;p__Armatimonadetes	0.6321156036717324	7
k__Bacteria;p__Bacteroidetes	-2.5529582997118823	12
k__Bacteria;p__Chlorobi	0.38266462925334377	6
k__Bacteria;p__Chloroflexi	0.6395174581926324	7
k__Bacteria;p__Cyanobacteria	2.3854907099721685	5
k__Bacteria;p__Firmicutes	0.7400947510151274	6
k__Bacteria;p__Fusobacteria	-3.63033791870602	13
k__Bacteria;p__Gemmatimonadetes	0.5368480801551052	6
k__Bacteria;p__Planctomycetes	0.4748913705148192	6
k__Bacteria;p__Proteobacteria	2.067685563720639	6
k__Bacteria;p__SR1	-1.0175237166922944	4
k__Bacteria;p__Spirochaetes	-1.5318757711129443	12
k__Bacteria;p__Synergistetes	0.3366528853477333	6
k__Bacteria;p__TM7	-3.143440094682541	13
k__Bacteria;p__Tenericutes	-1.94257091084566	12
k__Bacteria;p__[Thermi]	1.8981293819848117	13
