Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	3.mild	3.mild	3.mild	3.mild	3.mild	4.severe	4.severe	4.severe	4.severe	4.severe
k__Bacteria;p__Acidobacteria	1.0	1.0	1.0	1.0	15.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria	3677.0	9819.75	19587.0	29547.75	48789.0	1.0	222.25	1511.0	5253.75	42230.0
k__Bacteria;p__Armatimonadetes	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes	3.0	85.75	474.0	1493.0	6559.0	37.0	1195.25	3982.0	5702.5	36225.0
k__Bacteria;p__Chlorobi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16.5	31.25	74.0
k__Bacteria;p__Chloroflexi	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria	1.0	5.5	35.5	114.0	989.0	1.0	1.0	1.0	1.0	1541.0
k__Bacteria;p__Firmicutes	1405.0	8015.5	19497.0	28945.25	108244.0	38.0	6090.25	13113.0	19341.5	85810.0
k__Bacteria;p__Fusobacteria	1.0	1.0	22.0	182.25	7780.0	1.0	1.0	1.0	11.25	2451.0
k__Bacteria;p__Gemmatimonadetes	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria	10.0	24488.5	53371.5	83990.75	150730.0	789.0	10708.25	14582.5	18305.0	47176.0
k__Bacteria;p__SR1	1.0	1.0	1.0	1.0	46.0	1.0	1.0	1.0	1.0	7.0
k__Bacteria;p__Spirochaetes	1.0	1.0	1.0	1.0	335.0	1.0	1.0	1.0	1.0	14.0
k__Bacteria;p__Synergistetes	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__TM7	1.0	1.0	7.0	24.0	243.0	1.0	1.0	1.0	1.5	334.0
k__Bacteria;p__Tenericutes	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	16.0
k__Bacteria;p__[Thermi]	1.0	1.0	4.5	11.75	75.0	1.0	1.0	1.0	1.0	26.0
