id	clr	W
k__Bacteria;p__Acidobacteria	-0.9751773287815011	5
k__Bacteria;p__Actinobacteria	-0.3800479193624344	3
k__Bacteria;p__Bacteroidetes	-0.1627303331020773	3
k__Bacteria;p__Chlorobi	-3.122748583883814	16
k__Bacteria;p__Chloroflexi	-0.9525701493621885	5
k__Bacteria;p__Cyanobacteria	-0.6528291307577172	2
k__Bacteria;p__Firmicutes	-0.6697456000594126	4
k__Bacteria;p__Fusobacteria	4.974184145138706	15
k__Bacteria;p__Gemmatimonadetes	-0.9504906408517937	5
k__Bacteria;p__Planctomycetes	-0.9751773287815011	5
k__Bacteria;p__Proteobacteria	-1.7188803686155918	5
k__Bacteria;p__SR1	0.6349084613902249	4
k__Bacteria;p__Spirochaetes	1.6012925912794032	12
k__Bacteria;p__Synergistetes	-0.6383104792176679	4
k__Bacteria;p__TM7	3.919492413895935	15
k__Bacteria;p__Tenericutes	1.225676458653996	10
k__Bacteria;p__[Thermi]	-1.156846207582566	5
