featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-1.69720384401824	-1.82672780036988	-1.3239871480075	0.501032207496312	4.29334623406678	0.108245185002466	0.453125006681458	0.424460411905178	0.580092722920567	0.424604092634454	0.579982398625215
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.75214216622896	-2.01792484074379	-1.11306121773219	0.79658414334674	4.46425531045961	0.172793272411983	0.416666678776809	0.412435593380979	0.569183878488053	0.431588858940239	0.583951093650431
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	-1.86224872606272	-2.04128112354358	-1.42278373567997	0.537780647144427	4.28258328345298	0.11211831389351	0.433593759550673	0.428442698807725	0.591640189517241	0.424033392336008	0.582840885067743
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	-0.138079281702836	-0.880661101943825	8.76425319846748	6.78336477676559	9.18390151970696	0.692743721304358	0.248697964172301	0.0291677136753074	0.0954933209875377	0.0244603378338655	0.0822554549683177
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7.84053766643865	8.78230527362316	5.48207857610143	-3.03715301730806	5.67637037446945	-0.645833445484511	0.180754302217851	0.0152519046343432	0.0657518087326893	0.00106518639317165	0.00733357147127014
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-1.56310984044385	-1.86896259860451	-0.828423685923983	1.36017666310626	5.01311006568532	0.23375098890731	0.38101432206502	0.392431714990686	0.552029702976501	0.370569360814545	0.540450170054936
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	5.92088183101009	3.39763931510694	13.0325058963108	8.02142945366972	8.4046312227292	0.895429795122334	0.141927187185799	0.00242908346435202	0.0128393771388047	0.000533943584096381	0.00434614786660904
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	-1.8970353105162	-2.25684166635307	-1.15714251186842	1.16305961099589	4.7325684808247	0.219549134207674	0.38881666147623	0.299037855323401	0.465461243233642	0.343274878562477	0.492932481856358
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	-1.8933575894539	-2.05352898859978	-1.54785699062372	0.433229771329422	4.31164390788564	0.0961218767211486	0.45513654733566	0.424981096106854	0.588224704350087	0.444332790459052	0.605486124843626
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	-1.85090223085753	-2.00715668656322	-1.45307659982293	0.357462041771208	4.33635289775623	0.0636379690149297	0.461638496985292	0.477153754225918	0.636405028230051	0.510295987754252	0.666392463255841
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	-1.73072644875444	-1.97684664716552	-1.19510440061149	0.809382350639462	4.26876111831048	0.162776470596122	0.408854179986838	0.432874863976474	0.594365666989063	0.424026233879257	0.589714258985935
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	-1.45498445137641	-1.73029060356199	-0.824734205066678	1.09893497354834	4.80782934652176	0.200885342824956	0.403120950465384	0.420891456317367	0.575865247744221	0.39518193115724	0.56398464620484
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	-0.119889598063338	-1.46809570680734	5.85007619003854	6.33163717626246	5.08227225659796	1.09409835617192	0.108073060279361	0.00160468933526721	0.00843184197230642	0.00022738214830144	0.00210327881679092
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	8.09242171858083	8.18140142209955	7.61963983031757	-1.17461061143435	6.13555872468596	-0.199144082223166	0.361979187775402	0.132789039885611	0.320970020586617	0.172178552209189	0.383216994020616
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	-1.76753616340209	-1.91767044887512	-1.45110799917668	0.344483731984745	4.25753420056547	0.0722885742535029	0.458333339261375	0.416292321721654	0.575988136904724	0.426680311888176	0.588531973280581
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	-1.73425582673339	-2.10369516689486	-1.06453106054643	0.807001451298725	4.5636824468264	0.159312116772952	0.40962290003196	0.443155148183142	0.604441942561086	0.432007527562724	0.587762142289818
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae	-1.88761186221097	-2.03550872163056	-1.53203635207766	0.577877922417513	4.40296780200563	0.123448192407824	0.441406258393687	0.474956115284508	0.640167102607539	0.4927027421659	0.659848814193391
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	1.02982752371291	-0.613488928366806	10.7319227132183	10.5096673449458	7.65433742708014	1.15219295819088	0.126302202947687	0.00102924903709247	0.00657448401842334	0.000166061531195263	0.00173939501353333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	-1.83936980499603	-2.02300793455564	-1.39928559735689	0.375716523112964	4.54722933955642	0.0668945314821751	0.458333339261375	0.464157291147289	0.635006140339436	0.488186411958434	0.653057305899518
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	-1.91969698882491	-2.0320971379168	-1.6587061524405	0.355084014461075	4.31529343808447	0.0722472662598287	0.456436937265091	0.452913550038529	0.623834021440797	0.491212591922792	0.648738706391098
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	-1.78971059611848	-1.90051879130756	-1.50794867539404	0.432134108686954	4.29944338371102	0.079747544314899	0.457031256116008	0.478717952572938	0.646393516970509	0.493511372556881	0.657122073890751
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae	-1.84838063274723	-2.02608735632964	-1.54645236679318	0.449933629370777	4.43283886466223	0.0826815206110156	0.460937505552837	0.4403014315427	0.604534329403721	0.467813796369702	0.624884771892179
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	-0.729913134820727	-0.454161318821717	-1.18835746190974	-1.31824075646225	5.63173890523037	-0.199031841343357	0.395318611006384	0.423430577879432	0.596160461273845	0.491683650713375	0.651272421317049
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	4.76228020621277	7.04947881371009	-0.795361694159115	-7.20555480376874	6.08225257172576	-1.07834864371232	0.113281385983215	0.000538051924452644	0.00517741965577717	0.000186778151407431	0.001972937700769
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	-1.87290530714201	-2.04254066323153	-1.46302927502825	0.50580585873968	4.17527910854256	0.100861129092083	0.44993498762065	0.44157925376597	0.596327579567167	0.447702916949591	0.60299250186495
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	-1.84402091990686	-2.00160461769209	-1.54866272008608	0.319684164183469	4.15673691167028	0.0597210340218668	0.466145838138448	0.450840624253215	0.61313453743682	0.461807042728717	0.632822726057909
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	-1.82715612130275	-1.96643381893565	-1.54980918546597	0.40302791113519	4.25434715433632	0.0781779973043234	0.461638496985292	0.500027666166966	0.654019916870984	0.501951517087619	0.663475534120772
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	-1.76974733386869	-1.9242408951984	-1.46961209328465	0.287870852481841	4.29362932532502	0.048265285826857	0.470052087579759	0.484165580179543	0.646764676212714	0.498841240546864	0.654749484829725
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	1.12859397167605	2.63062364827466	-0.757652340792087	-3.23305447458587	5.61391793086129	-0.51397434078298	0.295188591247635	0.0673660149661593	0.168788243678097	0.0573784364439621	0.156280756792314
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	-1.32265756273604	-1.39973763442025	-1.19744384074473	0.0848031790740702	4.94024585956769	0.0196812321139471	0.490885417954849	0.488830910562371	0.665554146281983	0.526252291049192	0.689295484695816
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	8.6601983719026	9.56022415943166	1.35734364147618	-7.56695366474282	6.54686345714205	-0.978799480570018	0.172951966114755	0.00181587748128076	0.0138772813325607	0.00108474379798813	0.00737147069188005
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	11.8675001696061	12.8622750497913	5.68071578024926	-7.20300280586374	6.32879602635656	-1.0361238557149	0.101430583187847	0.00103936938621652	0.00898177495458631	2.1056223975726e-05	0.000693224922920419
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	-1.83977915474899	-2.02293720818659	-1.46975791455412	0.577149033321176	4.32176867746524	0.107249279206802	0.439531868205379	0.452028200007034	0.613927519873581	0.421990439419492	0.589053242651232
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	-1.77711835377543	-1.91043961018206	-1.4938984879427	0.215020163950237	4.67940750366155	0.0437172866665072	0.478543566098093	0.473110131743789	0.646632766441635	0.481721367661147	0.649778080784258
