featureid	rab.all	rab.win.1.negative	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-4.6525577139341	-5.16470422181037	-3.56583124682129	1.65812074723184	4.59282383269413	0.316789464796203	0.357421887334016	0.210813891883943	0.252615927486902	0.195970121351115	0.233003791413224
k__Bacteria;p__Actinobacteria	9.18130297773615	7.45437064966834	11.8538136552271	4.43524323659494	2.35018297339272	1.70336862000834	0.0449220857366191	3.18831277442851e-09	5.73896299397132e-08	4.33360582828176e-08	7.80049049090716e-07
k__Bacteria;p__Armatimonadetes	-5.04386878273193	-5.43730206703068	-4.26338843562197	1.23727868784894	4.43564353999268	0.250730627385674	0.378906260223309	0.31942012036505	0.361972876758396	0.313605141087606	0.356446938301093
k__Bacteria;p__Bacteroidetes	9.05281722879545	10.0980694591112	6.34473942295822	-3.46801565727668	3.55800993228562	-0.888911869426158	0.132682990122642	0.00180533252439094	0.00455337169692245	4.412402775909e-05	0.000189756561287818
k__Bacteria;p__Chlorobi	-4.83006236832421	-5.04899051465786	-4.51137948587812	0.410099777541843	4.62529009316101	0.0769777493949002	0.455609759646472	0.489126991473465	0.534060329381872	0.515070161850188	0.555622567169531
k__Bacteria;p__Chloroflexi	-4.79568381507889	-5.17453893091549	-3.98175764951734	1.35497281887011	4.62728024037851	0.261157828768455	0.384765634671724	0.293213018109227	0.335797345108576	0.311545233177762	0.353897746901575
k__Bacteria;p__Cyanobacteria	-0.836117760158325	-3.74069356565986	3.12656900644217	5.78215081103271	6.88028551747042	0.721418805247135	0.226341494403539	0.0044658875060203	0.00910738641149512	0.00405524356609482	0.0086636828888308
k__Bacteria;p__Firmicutes	10.7439225645353	10.4315863256164	11.5181082945372	1.17524494102731	2.32000568708712	0.413754235723799	0.296875019333738	0.0571961707693525	0.0851229677552355	0.0415336381563452	0.0627549932547889
k__Bacteria;p__Fusobacteria	7.61204655194551	8.5669825270519	1.99359252268006	-5.81707925505587	6.54977951984278	-0.867504857975171	0.167968797202941	0.000868528613994723	0.00278705305266953	0.000282257481543411	0.000858851224400984
k__Bacteria;p__Gemmatimonadetes	-4.83447435663527	-5.26880661864043	-4.03065730617812	1.10498719069273	4.53798629231458	0.236545531386399	0.390625009129186	0.328562134194496	0.369199371399576	0.319015594751763	0.365586335498068
k__Bacteria;p__Planctomycetes	-4.97749284219551	-5.25013137335331	-4.47716831231518	0.669169448947861	4.51552390539151	0.136615490423704	0.421875006364191	0.448693752702907	0.488365307139085	0.44405967364355	0.488520729940674
k__Bacteria;p__Proteobacteria	10.3501082957566	9.62470428896362	13.4170214023209	3.70846165554981	2.45225696052923	1.22542732187397	0.120000071355843	0.00125146722725986	0.00353117427709123	1.15681011195196e-05	6.69429979200753e-05
k__Bacteria;p__SR1	-3.23524524850238	-2.09302276126924	-4.1728518623321	-2.55278328418149	6.09063283485309	-0.379228552935918	0.338867201789743	0.113728073585644	0.153132569638871	0.143045099638071	0.188152108558006
k__Bacteria;p__Spirochaetes	-0.884329316595475	1.202528400534	-3.38152099011632	-3.99004948762339	5.9735661085233	-0.577187643062014	0.253906275810258	0.0228608472635694	0.039122470024329	0.0115109081657337	0.0208373582898636
k__Bacteria;p__Synergistetes	-4.21180928619185	-4.46523959307918	-3.81088422682008	0.433090677601783	4.89316061289821	0.0791797462453615	0.458007815860944	0.557987659916978	0.593847949764006	0.597455770429747	0.635766134678844
k__Bacteria;p__TM7	4.47610029585994	5.70680323629307	0.224286173661501	-5.34248985335802	4.83288456875772	-1.01788147494553	0.12011725891301	0.000258542945602069	0.00118370185104658	2.37574799653769e-05	0.000118666137565929
k__Bacteria;p__Tenericutes	-2.28796301341695	0.836643708128879	-4.03297310313276	-4.59297078490963	5.24444328338859	-0.791912278639258	0.209960972239844	0.00366848841078484	0.00770876978733148	0.00374731699792014	0.0076591750409202
k__Bacteria;p__[Thermi]	-4.00793085544538	-5.35897637588504	-0.525925297373747	4.68556395767321	4.91804391805288	0.857779040686326	0.171875045802477	0.00593905357866171	0.0100647307224971	0.00196450527882314	0.00397088231035572
