featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.7244835251246	-1.64977381732588	-1.78629234776596	-0.160918521406555	4.3492557143072	-0.0382247216224689	0.479843956030925	0.526749498635377	0.749675220330378	0.550590373669271	0.779068869612158
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.449110554801884	8.39675604886041	-0.534202176024201	-5.90276149084788	8.88533346903836	-0.672181174651702	0.278645872230903	0.0594784275936005	0.232666471981933	0.0619079545213614	0.240332531775011
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.581308568574531	4.68709801827463	-0.714981025314017	-4.60154254683534	6.74653779082671	-0.589644766874218	0.253576118688241	0.0872017346763826	0.282451440919585	0.0565437253496716	0.226795880536061
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-1.57824324843463	-1.26134548200278	-1.83717968585465	-0.698086923284726	4.77474825326269	-0.126573482924497	0.429687510134515	0.478337899752519	0.688123883216791	0.504494415519831	0.71915702560078
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	10.9633643002954	12.5551444086251	9.27488345451438	-2.31548750231539	6.01498051432112	-0.332363541969828	0.321614612212394	0.436350849805625	0.730971607463991	0.135811966120133	0.412722688652143
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	-1.74884215317504	-1.54993181098714	-1.85297433433925	-0.295573722304447	5.16755772676001	-0.0563195678021528	0.470052087579759	0.47633460915337	0.700762194038858	0.53864762753661	0.752228974905414
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	-1.66699873566372	-2.04016757440165	-1.42154418300515	0.637522555930432	4.20621958106378	0.148922437977953	0.430429138735947	0.491471395382235	0.708459468317139	0.518702117941585	0.732872852622352
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	-1.7404091162033	-1.99154113190472	-1.51480463668403	0.517195901845332	4.47828863962394	0.110796985016345	0.44733420776489	0.454631485344776	0.677888364749236	0.484937817833817	0.700187492898336
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	-1.75299708295988	-1.7137724741654	-1.77007105516678	-0.257716453483268	4.54084831126074	-0.0496228727419196	0.472041616435937	0.505211378719026	0.722672509332401	0.557886608920984	0.765699394990101
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	-1.29458128159549	-1.29458128159549	-1.29665726841564	-0.293374728756431	4.73441147111186	-0.0611112971387499	0.468750004432471	0.547325280844101	0.763805224531212	0.598862629052384	0.804357220866297
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	-1.61342236920718	-1.96231202437958	-1.36516607638372	0.794797949210421	4.31780204648231	0.153356609540274	0.41796876191037	0.486618867813146	0.707333664229563	0.471604901348558	0.696471441632502
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	2.69597879498992	5.43591037248634	0.450578408507086	-3.73419574794856	5.01366921063426	-0.708344608866374	0.171651576802723	0.0206865550452246	0.120287831578488	0.00364211862941504	0.0492064028617673
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.987246435220755	7.21645385991365	-0.265713549690581	-5.79198416017577	7.33647938086186	-0.712736823075591	0.246093798338284	0.0345078226995437	0.167015140795007	0.0343956400403264	0.173762242263044
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	-1.6956780916755	-2.10213422855332	-1.34539610186097	0.755795837419421	4.2519010385322	0.140490639211421	0.418725629449136	0.46715917134362	0.684407918126679	0.475420222253368	0.686839536197604
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	-1.30381905267457	-1.54162854779505	-1.11812254955769	0.434965465354446	4.45300916169657	0.0792635597008421	0.451822923537152	0.500951377827445	0.719523530176991	0.510502952060951	0.747327364204632
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	6.77381275502816	10.3785664240092	2.59762465957052	-6.05159451478718	7.02716597051719	-0.786579785143734	0.167750408937775	0.0156926282691819	0.109588604368806	0.00262244896785212	0.0432568601180441
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	-1.65642604398425	-2.10480715146629	-1.33556982194056	0.682765353079397	4.50827997027706	0.140354560270135	0.434895842690214	0.461743659134077	0.677181619673566	0.449043161608362	0.673584120255831
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	-1.6228960864231	-1.99454114490011	-1.36399955071227	0.53138633225659	4.6028215715673	0.0934650685864107	0.438802092111179	0.517535597519349	0.7348757918125	0.513207382862198	0.741527901856127
