featureid	rab.all	rab.win.3.mild	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-3.89450875071728	-3.97191361016155	-3.80453363618111	0.102448723044612	4.75100991946775	0.0236890777715476	0.490234375776398	0.541449254521575	0.694329731112069	0.559343543491121	0.659552685799219
k__Bacteria;p__Actinobacteria	10.5524523169982	11.5185284581058	8.77966330427517	-3.00655150023481	3.22081452362087	-0.865315926114388	0.157226613895909	0.00217017154430113	0.0120930183626131	0.000817079013133335	0.00484897136680905
k__Bacteria;p__Armatimonadetes	-4.10190847037476	-4.55364140323134	-3.74276644079562	0.806741952882237	4.3998954775662	0.149315639734979	0.425781256031265	0.473345085255194	0.617079842644035	0.455425638267163	0.568481021703896
k__Bacteria;p__Bacteroidetes	8.09202768440842	6.05543030536315	10.3267823808503	4.00932209991842	3.58376016776747	1.10402063808554	0.102539148311762	7.68703412750699e-05	0.00087230805595986	5.32539780161519e-05	0.000570424839339432
k__Bacteria;p__Chlorobi	-2.75842207711974	-4.71309428102722	2.3382259775874	6.69032926394094	5.0982617279765	1.14373187522304	0.125976629990674	0.000571240798867869	0.00362056774661297	0.000580389868899233	0.0035213111631201
k__Bacteria;p__Chloroflexi	-4.07965409000024	-4.36142320521064	-3.83086115554612	0.477461706101515	4.74233511468029	0.0979166539025633	0.456054691019647	0.525982744730455	0.688158801438087	0.528980839947424	0.642713121047592
k__Bacteria;p__Cyanobacteria	0.317349944167407	2.80538894315108	-2.60861680175791	-5.02292253162827	6.46319749138047	-0.679906482245121	0.242926856985797	0.0219591577116874	0.0785479785436171	0.0166860523327836	0.0640795098147914
k__Bacteria;p__Firmicutes	11.6283845697596	11.2562920992872	11.855291190023	0.484973545920439	2.44693451630037	0.164605181696633	0.416015631868254	0.770577176236596	0.866335858154934	0.448179894430386	0.585883276883247
k__Bacteria;p__Fusobacteria	0.371593578733023	1.57712238411392	-1.27500611505765	-2.74248995229999	6.91840456798174	-0.367520765934022	0.354146354108195	0.18757214889054	0.375142517321582	0.174240670619782	0.334629065270573
k__Bacteria;p__Gemmatimonadetes	-4.02162515279445	-4.30942247785567	-3.78757349281115	0.565531999643197	4.42615817335219	0.109381659312064	0.438048785478254	0.478034982080357	0.638230613652658	0.487546265546111	0.597936216422623
k__Bacteria;p__Proteobacteria	12.6309710577723	13.0530421753069	12.2378295468457	-0.627783099097782	2.97745862959544	-0.15533992150112	0.399414070831006	0.791693487624224	0.877287769844154	0.41075140067267	0.562816292365829
k__Bacteria;p__SR1	-3.87903657203611	-4.37555691685523	-3.40072425790519	0.832997563217629	4.73985251935675	0.152650564570441	0.417560982331367	0.465761830466562	0.629886385247508	0.43447352142552	0.556034316097629
k__Bacteria;p__Spirochaetes	-3.3803582115393	-3.58730536101726	-3.15091859209882	0.0101830883576017	5.00248984901887	0.00141792474030506	0.499023437577611	0.538588070516501	0.699111079888438	0.561632281311823	0.666582446243948
k__Bacteria;p__Synergistetes	-3.99173390702985	-4.06253315112703	-3.91204554649285	0.156251641503505	4.33761492266228	0.0271662014678189	0.485351563665153	0.542783336700851	0.690116565169771	0.52524311039431	0.633768265284939
k__Bacteria;p__TM7	-1.2394007593923	-0.0938720482436999	-2.23771959075582	-2.0858683142032	5.56928115013591	-0.345412105031806	0.344390257568754	0.235256087838177	0.413957368165445	0.178295199259869	0.327529922696906
k__Bacteria;p__Tenericutes	-3.73059682375323	-4.44107383551563	-2.94241428806324	1.57395003161664	4.22397088152771	0.302489114189973	0.346679700949428	0.283112761748968	0.426893377248656	0.248832088234695	0.366705004108711
k__Bacteria;p__[Thermi]	-2.08852282048097	-0.916469051388441	-3.19431464944043	-2.1642578620059	4.84355533245392	-0.382945868231876	0.309570330201681	0.172045190271611	0.318157730097257	0.122239395699841	0.25000893748373
