featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-1.61534663209381	-1.84628595794103	-1.2451297025978	0.626964199901636	4.2722207889292	0.128845083852687	0.434570317790477	0.425391169838709	0.560605802172386	0.443254201360309	0.570872582880721
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.52422254052339	-1.74102664575048	-1.10351021389228	0.551195697797683	4.2260086695352	0.117040190154539	0.443359379559906	0.435014247278252	0.562808678118229	0.402110526402135	0.527628364808002
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	-1.68834423806687	-1.85623516100043	-1.35309490262	0.597555978231257	4.26646119478909	0.120679846075838	0.444878053206434	0.460895600700262	0.582529441907213	0.419963967814643	0.546913566232906
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	-0.392796619141089	-0.74858052329604	0.156819673510426	0.741931000475265	6.48311934896425	0.115985096148339	0.443902443530651	0.571562099056437	0.697270223701792	0.553710784213166	0.674524520105712
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7.24516381599377	8.95303906049782	-0.373783153743443	-8.65114183145454	5.2241959050436	-1.42467303095455	0.114146417130741	1.89419710916785e-05	0.000128261660684944	8.08833366930465e-06	6.06183292336653e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-1.51390639021973	-1.65901642252004	-1.27234504169875	0.417170228937071	4.52600681210318	0.0876769429513617	0.458007815860944	0.48568976998004	0.611266842663008	0.472750339101342	0.594402275649121
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	6.6576564886438	3.61857592230469	9.65566075978333	5.95454484207615	7.66412171647117	0.691530758288333	0.217773470416896	0.00165088999519735	0.00669885011476916	0.00184403047676954	0.00747622564946364
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	-1.52878491120573	-1.72868328971072	-1.21014383069206	0.596098186873323	4.34097651125603	0.119460440323663	0.429687505700666	0.441810205414657	0.570227922637011	0.457777645826957	0.574926545049081
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	-1.71957480101327	-2.14719713192762	-0.88051467996913	1.24089737559322	4.38233692411973	0.24760158868603	0.376585376277723	0.313722178909864	0.428672739509994	0.270960258823309	0.384677832140687
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	-1.45083797587968	-1.70929066315738	-0.934799508041413	0.905104007789422	4.38959796341641	0.173011029400741	0.416015631868254	0.387145495751558	0.512466995031852	0.381395726839012	0.505264752928
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	-1.54204246696988	-1.7527503046578	-1.20734065246671	0.468835591045801	4.43187302739584	0.0954851648971295	0.449218754077792	0.454176458494956	0.575407558145537	0.440686828741351	0.561332833675686
