Feature.ID	AS-01	AS-02	AS-03	AS-04	AS-05	AS-06	AS-07	AS-08	AS-09	AS-10	AS-11	AS-12	AS-13	AS-14	AS-15	AS-16	AS-17	AS-18	AS-19	MI-01	MI-02	MI-03	MI-04	MI-05	MI-06	MI-07	MI-08	MI-09	MI-10	MI-11	MI-12	MI-13	MI-14	MI-15	MI-16	NE-01	NE-02	NE-03	NE-04	NE-05	NE-06	NE-07	NE-08	NE-09	NE-10	NE-11	NE-12	NE-13	NE-14	NE-15	NE-16	NE-17	NE-18	NE-19	NE-20	NE-21	NE-22	NE-23	NE-24	NE-25	NE-26	SE-01	SE-02	SE-03	SE-05	SE-06	SE-07	SE-09	SE-10	SE-11	SE-12	SE-13	SE-14	SE-16	SE-17	SE-18	SE-19
1005406	0	0	0	0	0	0.06	0	1.29	4.53	21.3	3.78	0	0.16	2.18	4.13	3.61	17.2	0.51	2.75	0.1	0.15	1.35	1.03	1.55	6.05	0.39	0.23	0.72	2.5	0.54	0.32	0.1	2.88	1.4	2.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0.01	1.91	7.56	0.02	0.02	36.58	1.91	3.86	0.56	1.36	0.35	1.21	0.97	4.5	0.35	0	0	0	0	0.2	0.03	0.99	0.04
1090752	0	0	0	0	0	0	0	0.09	35.29	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	1.42	0	0	0	0	25.21	37.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.04	0	0	0	0	0	0.27	0	0.27	4.14	0	0	23.41	0.02	0	0	0	0	0
960695	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.13	0.23	0	0	0.03	0	0.04	0.05	0.9	0.54	0.9	5.01	0.53	0.1	0.57	1.47	0.22	14.5	16.68	2.78	1.38	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	1.19	0.73	0	0	14.92	0.13	4.08	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0
392386	0	0	0	0	0.03	0.78	0.43	0	0	0.59	2.6	0	0	2.25	3.67	6.92	0.48	1.75	0	3.35	1.87	0.43	1.31	2	0.73	0.3	0.09	0.76	6.54	3.71	8.4	1.15	4.39	15.94	3.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.78	0	0.75	0	0.15	4.89	1.73	13.69	0.62	0.98	0	0.43	0	0.58	0.14	0.04	0.03	0	0	0.03	2.2	0.12	0
705675	0	0	0	0	0	0	0	0	0	0	0	0	1.77	0	0	0	0	0	0	0.7	5.56	7.19	8.26	0.78	5.14	2.28	9.57	6.88	5.32	9.95	0.09	0	0	2.04	3.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0.01	0.02	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
461298	0	0	0	0	0	1.3	0.58	0	0	1.02	6.23	0	0	2.07	0.65	0	1.17	0.72	0	3.63	3.17	0	0.98	2.36	0	0	0.29	1.02	4.42	4.27	12.4	0	6.72	16.74	4.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.03	0	0.11	0.02	0.41	8.24	2.86	12.87	0.97	0	0	0.6	0	0.91	0.31	0	0	0	0	0.08	2.73	0	0.01
128340	0	0	0	0	0	0	0	0	0	0	0	0	4.76	0	0	0	0	0	0	2.62	1.37	3.46	2.96	0.19	2.4	1.49	3.16	3.04	2.5	2.4	0.05	0	0	1.12	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142404	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9.61	7.18	7.55	9.18	1.15	6.64	4.45	9.85	8.6	5.71	9.03	0.29	0	0.01	3.2	4.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4481458	0	0	0	0	0	0	0	0	0	0	0	0.03	1.74	0	0	0	0	0	0	1.08	2.24	2.74	2.94	0.32	2.44	0.24	4.54	3.4	1.92	2.04	0.03	0	0.02	0.42	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
892891	0	0	0	0	0	0	1.4	0	0	0	0.39	0	0	9.47	3.94	0	0	0	0	1.69	3.4	0.07	0	10.27	0.14	0	0.34	0.43	0	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.16	0	1.42	1.8	0	0	0.03	0	0	0	0.18	0	0.01	0.02	0.11	11.55	0.29	0
